API Name,UI Name,Description,
dv360ExchangeName,DV360 exchange name,"The DV360 Exchange Name that led to the key event. The DV360 ad exchange involved in the ad click. To learn more, see managingexchanges.",
dv360InsertionOrderId,DV360 insertion order ID,The DV360 Insertion Order ID that led to the key event. Identifies the DV360 insertion order.,
dv360InsertionOrderName,DV360 insertion order name,The DV360 Insertion Order Name that led to the key event. A DV360 insertion order contains a set of line items that are related to the same advertising campaign.,
dv360LineItemId,DV360 line item ID,The DV360 Line Item ID that led to the key event. Identifies the DV360 line item.,
dv360LineItemName,DV360 line item name,The DV360 Line Item Name that led to the key event. A DV360 line item bids on impressions and serves creatives across inventory sources.,
dv360Medium,DV360 medium,"The DV360 Medium that led to the key event. The billable outcome of the insertion order. For example, click or view.",
dv360PartnerId,DV360 partner ID,The DV360 Partner ID that led to the key event. Identifies the DV360 partner.,
dv360PartnerName,DV360 partner name,"The DV360 Partner Name that led to the key event. DV360 partners represent agencies, trading desks, or individual advertisers.",
dv360Source,DV360 source,The DV360 Source that led to the key event. The DV360 site name where your ad was displayed.,
dv360SourceMedium,DV360 source / medium,The DV360 Source Medium that led to the key event. A combination of the source and medium.,
eventName,Event name,The name of the event.,
fileExtension,File extension,"The extension of the downloaded file (for example, txt). Automatically populated if Enhanced Measurement is enabled. Populated by the event parameter file_extension.",
fileName,File name,"The page path of the downloaded file (for example, dinner-menu.pdf). Automatically populated if Enhanced Measurement is enabled. Populated by the event parameter file_name.",
firstSessionDate,First session date,"The date the user's first session occurred, formatted as YYYYMMDD.",
firstUserCampaignId,First user campaign ID,"Identifier of the marketing campaign that first acquired the user. Includes Google Ads Campaigns, Manual Campaigns, and other Campaigns.",
firstUserCampaignName,First user campaign,"Name of the marketing campaign that first acquired the user. Includes Google Ads Campaigns, Manual Campaigns, and other Campaigns.",
firstUserCm360AccountId,First user CM360 account ID,The CM360 Account ID that originally acquired the user. Identifies the CM360 account.,
firstUserCm360AccountName,First user CM360 account name,"The CM360 Account Name that originally acquired the user. A CM360 account consists of advertisers, sites, campaigns, and user profiles.",
firstUserCm360AdvertiserId,First user CM360 advertiser ID,The CM360 Advertiser ID that originally acquired the user. Identifies the CM360 advertiser.,
firstUserCm360AdvertiserName,First user CM360 advertiser name,"The CM360 Advertiser Name that originally acquired the user. A CM360 Advertiser contains a group of campaigns, creatives, and other settings.",
firstUserCm360CampaignId,First user CM360 campaign ID,The CM360 Campaign ID that originally acquired the user. Identifies the CM360 campaign.,
firstUserCm360CampaignName,First user CM360 campaign name,"The CM360 Campaign Name that originally acquired the user. A CM360 campaign can be configured to specify when your ads run, what landing pages are used, and other properties.",
firstUserCm360CreativeFormat,First user CM360 creative format,The CM360 Creative Format that originally acquired the user. CM360 creative formats are also referred to as creative types.,
firstUserCm360CreativeId,First user CM360 creative ID,The CM360 Creative ID that originally acquired the user. Identifies a CM360 creative.,
firstUserCm360CreativeName,First user CM360 creative name,The CM360 Creative Name that originally acquired the user. The name given to a CM360 creative.,
firstUserCm360CreativeType,First user CM360 creative type,"The CM360 Creative Type that originally acquired the user. The category of CM360 creatives like 'Display' or 'Tracking'. To learn more, see managecreatives.",
firstUserCm360CreativeTypeId,First user CM360 creative type ID,The CM360 Creative Type ID that originally acquired the user. Identifies a CM360 creative type.,
firstUserCm360CreativeVersion,First user CM360 creative version,"The CM360 Creative Version that originally acquired the user. The version number helps you keep track of multiple versions of your creative in your reports. If you upload a new version of an existing creative, the version number is increased.",
firstUserCm360Medium,First user CM360 medium,The CM360 Medium that originally acquired the user. The CM360 medium is also referred to as the placement cost structure.,
firstUserCm360PlacementCostStructure,First user CM360 placement cost structure,"The CM360 Placement Cost Structure that originally acquired the user. Placement cost structures regulate how media costs will be calculated. For example, 'CPM'.",
firstUserCm360PlacementId,First user CM360 placement ID,The CM360 Placement ID that originally acquired the user. Identifies a CM360 placement.,
firstUserCm360PlacementName,First user CM360 placement name,The CM360 Placement Name that originally acquired the user. The given name for a CM360 placement. A placement is the part of a website where your ad appears.,
firstUserCm360RenderingId,First user CM360 rendering ID,The CM360 Rendering ID that originally acquired the user. Identifies a CM360 creative.,
firstUserCm360SiteId,First user CM360 site ID,The CM360 Site ID that originally acquired the user. Identifies a CM360 site.,
firstUserCm360SiteName,First user CM360 site name,The CM360 Site Name that originally acquired the user. The CM360 Site name from which the ad space was purchased.,
firstUserCm360Source,First user CM360 source,The CM360 Source that originally acquired the user. The CM360 source is also referred to as the site name.,
firstUserCm360SourceMedium,First user CM360 source / medium,The CM360 Source Medium that originally acquired the user. A combination of the source and medium.,
firstUserDefaultChannelGroup,First user default channel group,"The default channel group that first acquired the user. The default channel group is based primarily on source and medium. An enumeration which includes Direct, Organic Search, Paid Social, Organic Social, Email, Affiliates, Referral, Paid Search, Video, and Display.",
firstUserDv360AdvertiserId,First user DV360 advertiser ID,The DV360 Advertiser ID that originally acquired the user. Identifies the DV360 advertiser.,
firstUserDv360AdvertiserName,First user DV360 advertiser name,The DV360 Advertiser Name that originally acquired the user. DV360 advertisers represent real-life businesses that run advertising campaigns.,
firstUserDv360CampaignId,First user DV360 campaign ID,The DV360 Campaign ID that originally acquired the user. Identifies the DV360 campaign.,
firstUserDv360CampaignName,First user DV360 campaign name,The DV360 Campaign Name that originally acquired the user. DV360 campaigns group together related insertions orders or ads with a common business goal.,
firstUserDv360CreativeFormat,First user DV360 creative format,"The DV360 Creative Format that originally acquired the user. Also referred to as the creative type. For example, expandable, video, or native.",
firstUserDv360CreativeId,First user DV360 creative ID,The DV360 Creative ID that originally acquired the user. Identifies the DV360 creative.,
firstUserDv360CreativeName,First user DV360 creative name,The DV360 Creative Name that originally acquired the user. The name given to a DV360 creative.,
firstUserDv360ExchangeId,First user DV360 exchange ID,The DV360 Exchange ID that originally acquired the user. Identifies the DV360 exchange.,
firstUserDv360ExchangeName,First user DV360 exchange name,"The DV360 Exchange Name that originally acquired the user. The DV360 ad exchange involved in the ad click. To learn more, see managingexchanges.",
firstUserDv360InsertionOrderId,First user DV360 insertion order ID,The DV360 Insertion Order ID that originally acquired the user. Identifies the DV360 insertion order.,
firstUserDv360InsertionOrderName,First user DV360 insertion order name,The DV360 Insertion Order Name that originally acquired the user. A DV360 insertion order contains a set of line items that are related to the same advertising campaign.,
firstUserDv360LineItemId,First user DV360 line item ID,The DV360 Line Item ID that originally acquired the user. Identifies the DV360 line item.,
firstUserDv360LineItemName,First user DV360 line item name,The DV360 Line Item Name that originally acquired the user. A DV360 line item bids on impressions and serves creatives across inventory sources.,
firstUserDv360Medium,First user DV360 medium,"The DV360 Medium that originally acquired the user. The billable outcome of the insertion order. For example, click or view.",
firstUserDv360PartnerId,First user DV360 partner ID,The DV360 Partner ID that originally acquired the user. Identifies the DV360 partner.,
firstUserDv360PartnerName,First user DV360 partner name,"The DV360 Partner Name that originally acquired the user. DV360 partners represent agencies, trading desks, or individual advertisers.",
firstUserDv360Source,First user DV360 source,The DV360 Source that originally acquired the user. The DV360 site name where your ad was displayed.,
firstUserDv360SourceMedium,First user DV360 source / medium,The DV360 Source Medium that originally acquired the user. A combination of the source and medium.,
firstUserGoogleAdsAccountName,First user Google Ads account name,The Account name from Google Ads that first acquired the user.,
firstUserGoogleAdsAdGroupId,First user Google Ads ad group ID,The Ad Group Id in Google Ads that first acquired the user.,
firstUserGoogleAdsAdGroupName,First user Google Ads ad group name,The Ad Group Name in Google Ads that first acquired the user.,
firstUserGoogleAdsAdNetworkType,First user Google Ads ad network type,"The advertising network that first acquired the user. An enumeration which includes Google Search Network, Search Partners, Google Display Network, YouTube Search, YouTube Videos, Cross-network, Social, and Universal App Campaign.",
firstUserGoogleAdsCampaignId,First user Google Ads campaign ID,Identifier of the Google Ads marketing campaign that first acquired the user.,
firstUserGoogleAdsCampaignName,First user Google Ads campaign,Name of the Google Ads marketing campaign that first acquired the user.,
firstUserGoogleAdsCampaignType,First user Google Ads campaign type,"The campaign type of the Google Ads campaign that first acquired the user. Campaign types determine where customers see your ads and the settings and options available to you in Google Ads. Campaign type is an enumeration that includes: Search, Display, Shopping, Video, Demand Gen, App, Smart, Hotel, Local, and Performance Max. To learn more, see Choosetherightcampaigntype.",
firstUserGoogleAdsCreativeId,First user Google Ads creative ID,The ID of the Google Ads creative that first acquired the user. Creative IDs identify individual ads.,
firstUserGoogleAdsCustomerId,First user Google Ads customer ID,The Customer ID from Google Ads that first acquired the user. Customer IDs in Google Ads uniquely identify Google Ads accounts.,
firstUserGoogleAdsKeyword,First user Google Ads keyword text,First user Google Ads keyword text.,
firstUserGoogleAdsQuery,First user Google Ads query,The search query that first acquired the user.,
firstUserManualAdContent,First user manual ad content,The ad content that first acquired the user. Populated by the utm_content parameter.,
firstUserManualCampaignId,First user manual campaign ID,The manual Campaign ID that originally acquired the user. Identifies the manual campaign. Populated by the utm_id URL parameter.,
firstUserManualCampaignName,First user manual campaign name,"The manual Campaign Name that originally acquired the user. The name of the manual campaign. Populated by the utm_campaign URL parameter. To learn more, see CollectcampaigndatawithcustomURLs.",
firstUserManualCreativeFormat,First user manual creative format,The manual Creative Format that originally acquired the user. Identifies the creative format used in the ad. Populated by the utm_creative_format URL parameter.,
firstUserManualMarketingTactic,First user manual marketing tactic,"The manual Marketing Tactic that originally acquired the user. The targeting criteria applied to a campaign. For example, remarketing or prospecting. Populated by the utm_marketing_tactic URL parameter.",
firstUserManualMedium,First user manual medium,"The manual Medium that originally acquired the user. The marketing medium used in the referral. For example, cpc, organic, or referral. Populated by the utm_medium URL parameter.",
firstUserManualSource,First user manual source,The manual Source that originally acquired the user. The referrer. Populated by the utm_source URL parameter.,
firstUserManualSourceMedium,First user manual source / medium,The manual Source Medium that originally acquired the user. A combination of the source and medium.,
firstUserManualSourcePlatform,First user manual source platform,The manual Source Platform that originally acquired the user. The platform responsible for directing traffic to your Google Analytics property. Populated by the utm_source_platform URL parameter.,
firstUserManualTerm,First user manual term,The term that first acquired the user. Populated by the utm_term parameter.,
firstUserMedium,First user medium,The medium that first acquired the user to your app or website.,
firstUserPrimaryChannelGroup,First user primary channel group,"The primary channel group that originally acquired the user. Primary channel groups are the channel groups used in standard reports in Google Analytics and serve as an accurate record of your property's data in alignment with channel grouping over time. To learn more, see Customchannelgroups.",
firstUserSa360AdGroupId,First user SA360 ad group ID,The SA360 Ad Group ID that originally acquired the user. Identifies the SA360 ad group.,
firstUserSa360AdGroupName,First user SA360 ad group name,The SA360 Ad Group Name that originally acquired the user. SA360 Ad groups contain ads and keywords that relate to each other.,
firstUserSa360CampaignId,First user SA360 campaign ID,The SA360 Campaign ID that originally acquired the user. Identifies the SA360 campaign.,
firstUserSa360CampaignName,First user SA360 campaign,The SA360 Campaign Name that originally acquired the user. A SA360 campaign lets you organize your ads and define a goal for your advertising.,
firstUserSa360CreativeFormat,First user SA360 creative format,The SA360 Creative Format that originally acquired the user. The creative format is the specific layout or design of the advertisement used in a campaign.,
firstUserSa360EngineAccountId,First user SA360 engine account ID,The SA360 Engine Account ID that originally acquired the user. Identifies the SA360 engine account.,
firstUserSa360EngineAccountName,First user SA360 engine account name,"The SA360 Engine Account Name that originally acquired the user. A SA360 engine account contains campaigns, assets, and other items from an advertising account. To learn more, see SA360engineaccount.",
firstUserSa360EngineAccountType,First user SA360 engine account type,The SA360 Engine Account Type that originally acquired the user. The type of engine used by the search engine account.,
firstUserSa360KeywordText,First user SA360 keyword text,The SA360 Keyword Text that originally acquired the user. These are keywords that matched the search query.,
firstUserSa360ManagerAccountId,First user SA360 manager account ID,The SA360 Manager Account ID that originally acquired the user. Identifies the SA360 manager account.,
firstUserSa360ManagerAccountName,First user SA360 manager account name,The SA360 Manager Account Name that originally acquired the user. The top level of the Search Ads 360 account hierarchy and is used for administration and reporting across the lower-level sub-manager and client accounts.,
firstUserSa360Medium,First user SA360 medium,"The SA360 Medium that originally acquired the user. The payment mode used in ad buying. For example, cpc.",
firstUserSa360Query,First user SA360 query,The SA360 Query that originally acquired the user. The search query typed by the user.,
firstUserSa360Source,First user SA360 source,The SA360 Source that originally acquired the user. The site where the search query happened.,
firstUserSa360SourceMedium,First user SA360 source / medium,The SA360 Source Medium that originally acquired the user. A combination of the source and medium.,
firstUserSource,First user source,The source that first acquired the user to your app or website.,
firstUserSourceMedium,First user source / medium,The combined values of the dimensions firstUserSource and firstUserMedium.,
firstUserSourcePlatform,First user source platform,The source platform that first acquired the user. Depending on this field returning Manual for traffic that used UTMs; this field will update from returning Manual to returning (not set) for an upcoming feature launch.,
fullPageUrl,Full page URL,"The hostname, page path, and query string for the page visited; for example, the fullPageUrl portion of https://www.example.com/store/contact-us?q=true is www.example.com/store/contact-us. If query_string=true is specified, then the fullPageUrl for https://www.example.com/store/contact-us?q=true is www.example.com/store/contact-us?query_string=true.",
googleAdsAccountName,Google Ads account name,The Account name from Google Ads for the campaign attributed to the key event. Corresponds to customer.descriptive_name in the Google Ads API.,
googleAdsAdGroupId,Google Ads ad group ID,The Google Ads ad group ID attributed to the key event.,
googleAdsAdGroupName,Google Ads ad group name,The ad group name attributed to the key event.,
googleAdsAdNetworkType,Google Ads ad network type,"The advertising network type of the key event. An enumeration which includes Google Search Network, Search Partners, Google Display Network, YouTube Search, YouTube Videos, Cross-network, Social, and Universal App Campaign.",
googleAdsCampaignId,Google Ads campaign ID,The campaign ID for the Google Ads campaign attributed to the key event.,
googleAdsCampaignName,Google Ads campaign,The campaign name for the Google Ads campaign attributed to the key event.,
googleAdsCampaignType,Google Ads campaign type,"The campaign type for the Google Ads campaign attributed to the key event. Campaign types determine where customers see your ads and the settings and options available in Google Ads. Campaign type is an enumeration that includes: Search, Display, Shopping, Video, Demand Gen, App, Smart, Hotel, Local, and Performance Max. To learn more, see Choosetherightcampaigntype.",
googleAdsCreativeId,Google Ads creative ID,The ID of the Google Ads creative attributed to the key event. Creative IDs identify individual ads.,
googleAdsCustomerId,Google Ads customer ID,The Customer ID from Google Ads for the campaign attributed to the key event. Customer IDs in Google Ads uniquely identify Google Ads accounts.,
googleAdsKeyword,Google Ads keyword text,"The matched keyword that led to the key event. Keywords are words or phrases describing your product or service that you choose to get your ad in front of the right customers. To learn more about Keywords, see Keywords:DefinitionandBestPractices.",
googleAdsQuery,Google Ads query,The search query that led to the key event.,
groupId,Group ID,The player group ID in a game for an event. Populated by the event parameter group_id.,
hostName,Hostname,"Includes the subdomain and domain names of a URL. For example, the Host Name of www.example.com is www.example.com.",
hour,Hour,The two-digit hour of the day that the event was logged. This dimension ranges from 0-23 and is reported in the property's timezone.,
isKeyEvent,Is key event,"The string true if the event is a key event. Marking an event as a key event affects reports from time of creation. It doesn't change historic data. You can mark any event as key in Google Analytics, and some events (such as first_open or purchase) are marked as key events by default.",
isoWeek,ISO week of the year,"ISO week number, where each week starts on Monday. For details, see http://en.wikipedia.org/wiki/ISO_week_date. Example values include 01, 02, & 53.",
isoYear,ISO year,"The ISO year of the event. For details, see http://en.wikipedia.org/wiki/ISO_week_date. Example values include 2022 & 2023.",
isoYearIsoWeek,ISO week of ISO year,The combined values of isoWeek and isoYear. Example values include 201652 & 201701.,
itemAffiliation,Item affiliation,The name or code of the affiliate (partner/vendor) associated with an individual item. Populated by the event parameter affiliation item.,
itemBrand,Item brand,Brand name of the item.,
itemCategory,Item category,"The hierarchical category in which the item is classified. For example, in Apparel/Mens/Summer/Shirts/T-shirts, Apparel/Mens/Summer/Shirts is the item category.",
itemCategory2,Item category 2,"The hierarchical category in which the item is classified. For example, in Apparel/Mens/Summer/Shirts/T-shirts, Apparel/Mens/Summer is the item category 2.",
itemCategory3,Item category 3,"The hierarchical category in which the item is classified. For example, in Apparel/Mens/Summer/Shirts/T-shirts, Apparel/Mens is the item category 3.",
itemCategory4,Item category 4,"The hierarchical category in which the item is classified. For example, in Apparel/Mens/Summer/Shirts/T-shirts, Apparel is the item category 4.",
itemCategory5,Item category 5,"The hierarchical category in which the item is classified. For example, in Apparel/Mens/Summer/Shirts/T-shirts, is the item category 5.",
itemId,Item ID,The ID of the item.,
itemListId,Item list ID,The ID of the item list.,
itemListName,Item list name,The name of the item list.,
itemListPosition,Item list position,"The position of an item in a list. For example, the position of an item in a list of products. This dimension is populated in the tag based on the index parameter in the items array.",
itemLocationID,Item location ID,The physical location associated with the item. This is typically the physical store location. It's recommended to use a Google Place ID (https://developers.google.com/maps/documentation/places/web-service/place-id) that corresponds to the associated item. A custom location ID can also be used. This field is populated in the tag based on the location_id parameter in the items array.,
itemName,Item name,The name of the item.,
itemPromotionCreativeName,Item promotion creative name,The name of the item-promotion creative.,
itemPromotionCreativeSlot,Item promotion creative slot,"The name of the promotional creative slot associated with the item. This dimension can be specified in tagging using the creative_slot parameter at the event or item level. If the parameter is specified at both the event & item level, the item level parameter is used.",
itemPromotionId,Item promotion ID,The ID of the item promotion.,
itemPromotionName,Item promotion name,The name of the promotion for the item.,
itemVariant,Item variant,"The specific variation of a product. For example, Small, Medium, or Large for size; or Red, Blue, Green, or Black for color. This dimension is populated by the item_variant parameter.",
landingPage,Landing page,The page path associated with the first pageview in a session.,
landingPagePlusQueryString,Landing page + query string,The page path + query string associated with the first pageview in a session.,
language,Language,"The language setting of the user's browser or device. For example, English.",
languageCode,Language code,"The language setting (ISO 639) of the user's browser or device. For example, en-us.",
level,Level,The player's level in a game. Populated by the event parameter level.,
linkClasses,Link classes,"The HTML class attribute for an outbound link. For example, if a user clicks a link <a class=""center"" href=""youtube.com"">, this dimension will return center. Automatically populated if Enhanced Measurement is enabled. Populated by the event parameter link_classes.",
linkDomain,Link domain,"The destination domain of the outbound link. For example, if a user clicks a link <a href=""www.youtube.com"">, this dimension will return youtube.com. Automatically populated if Enhanced Measurement is enabled. Populated by the event parameter link_domain.",
linkId,Link ID,"The HTML ID attribute for an outbound link or file download. For example, if a user clicks a link <a id=""socialLinks"" href=""www.youtube.com"">, this dimension will return socialLinks. Automatically populated if Enhanced Measurement is enabled. Populated by the event parameter link_id.",
linkText,Link text,The link text of the file download. Automatically populated if Enhanced Measurement is enabled. Populated by the event parameter link_text.,
linkUrl,Link URL,"The full URL for an outbound link or file download. For example, if a user clicks a link <a href=""https://www.youtube.com/results?search_query=analytics"">, this dimension will return https://www.youtube.com/results?search_query=analytics. Automatically populated if Enhanced Measurement is enabled. Populated by the event parameter link_url.",
manualAdContent,Manual ad content,The ad content attributed to the key event. Populated by the utm_content parameter.,
manualCampaignId,Manual campaign ID,The manual Campaign ID that led to the key event. Identifies the manual campaign. Populated by utm_id URL parameter.,
manualCampaignName,Manual campaign name,"The manual Campaign Name that led to the key event. Identifies the name of the manual campaign. Populated by utm_campaign URL parameter. To learn more, see Collect campaign data with custom URLs (https://support.google.com/analytics/answer/1094897).",
manualCreativeFormat,Manual creative format,The manual Creative Format that led to the key event. Identifies the creative format used in the ad. Populated by utm_creative_format URL parameter.,
manualMarketingTactic,Manual marketing tactic,"The manual Marketing Tactic that led to the key event. Identifies the targeting criteria applied to a campaign. For example, remarketing or prospecting. Populated by utm_marketing_tactic URL parameter.",
manualMedium,Manual medium,"The manual Medium that led to the key event. Identifies the medium used in the referral. For example, cpc or banner. Populated by utm_medium URL parameter.",
manualSource,Manual source,The manual Source that led to the key event. The source identifies the referrer. Populated by utm_source URL parameter.,
manualSourceMedium,Manual source / medium,The manual Source Medium that led to the key event. The combination of the source and medium.,
manualSourcePlatform,Manual source platform,The manual Source Platform that led to the key event. Identifies the platform responsible for directing traffic to a Google property. Populated by utm_source_platform URL parameter.,
manualTerm,Manual term,The term attributed to the key event. Populated by the utm_term parameter.,
medium,Medium,The medium attributed to the key event.,
method,Method,The method by which an event was triggered. This is populated by the event parameter method.,
minute,Minute,The two-digit minute of the hour that the event was logged. This dimension ranges from 0-59 and is reported in the property's timezone.,
mobileDeviceBranding,Device brand,"Manufacturer or branded name (examples: Samsung, Verizon, T-Mobile).",
mobileDeviceMarketingName,Device marketing name,"The branded device name (examples: Galaxy S22, iPhone 14).",
mobileDeviceModel,Mobile model,"The mobile device model name (examples: iPhone 14, SM-G950F).",
month,Month,"The month of the event, a two-digit integer from 01 to 12.",
newVsReturning,New / returning,"New users have 0 previous sessions, and returning users have 1 or more previous sessions. This dimension returns two values: new or returning.",
nthDay,Nth day,The number of days since the start of the date range. The starting hour is 0000.,
nthHour,Nth hour,The number of hours since the start of the date range. The starting hour is 0000.,
nthMinute,Nth minute,The number of minutes since the start of the date range. The starting minute is 0000.,
nthMonth,Nth month,The number of months since the start of a date range. The starting month is 0000.,
nthWeek,Nth week,A number representing the number of weeks since the start of a date range.,
nthYear,Nth year,The number of years since the start of the date range. The starting year is 0000.,
